	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
0	1897	1335	149	306	3174	9	498	729	1268	3562	221	1809	30	73	4013	973	482	82	2187	874	27	431	52	9	1611	238	1252	7054	93	463	129	2283	33	53	1128	75	67	599
1	1477	1036	130	165	2424	11	402	526	955	2692	217	1489	33	39	3354	825	367	71	1749	690	20	353	24	5	1238	195	930	5599	69	209	105	1747	22	40	926	86	61	490
2	564	445	21	25	1017	0	159	223	361	1160	82	663	6	3	1244	308	115	10	847	291	0	136	4	2	645	30	384	2849	13	34	9	804	1	11	440	8	4	191
3	1360	965	128	197	2109	6	348	543	909	2437	196	1353	21	34	2788	740	389	55	1509	635	23	301	35	5	1122	177	819	4762	84	262	87	1647	14	49	778	68	59	437
4	2259	1559	145	302	3775	6	627	837	1532	4185	296	2260	25	41	4938	1128	525	76	2750	1032	15	509	43	4	1885	290	1530	9132	98	557	108	2885	22	38	1437	74	56	704
5	2300	1750	128	183	3891	3	587	825	1638	4607	341	2629	24	47	5024	1252	502	34	3181	1182	21	549	14	3	2224	187	1524	10430	71	231	73	3207	17	32	1630	52	44	721
6	352	271	18	45	706	1	105	119	261	742	67	413	1	4	765	197	59	11	510	168	1	88	11	1	311	31	243	1737	13	96	11	523	2	3	245	7	9	115
7	1930	1496	123	243	3292	9	588	721	1374	3753	299	1983	20	32	4432	1015	397	70	2569	973	22	430	27	8	1851	214	1257	8456	79	331	102	2467	21	27	1366	73	45	612
8	2005	1490	137	349	3369	7	522	795	1422	3524	229	2092	39	38	4175	1014	484	87	2647	851	21	439	76	9	1645	294	1316	7927	84	619	109	2661	15	25	1162	55	55	542
9	1561	1085	83	124	2482	5	404	573	988	2961	205	1680	18	35	3295	770	376	37	1995	721	16	356	18	4	1501	136	934	6653	53	202	64	1919	17	25	1032	54	48	490
10	675	568	20	34	1297	1	198	286	491	1482	109	915	4	3	1516	408	145	8	1080	386	1	169	6	3	714	51	459	3564	13	63	9	997	0	2	522	6	9	233
11	1377	1051	108	262	2353	6	404	534	956	2538	162	1362	17	42	3001	709	347	53	1719	586	20	340	46	7	1191	167	962	5518	58	421	80	1797	11	25	924	58	55	470
12	1736	1351	181	554	3104	5	610	703	1291	3290	386	1771	17	59	4534	1178	864	76	2193	754	22	412	71	6	1453	879	1289	6796	110	443	183	2301	17	63	1108	104	76	587
13	2210	1569	139	299	3693	9	594	755	1442	4006	337	2363	29	53	4914	1181	576	66	2798	1039	20	470	32	11	2081	441	1371	9131	86	315	104	2835	25	41	1433	60	57	661
14	413	298	37	60	740	1	118	174	286	818	68	430	4	11	874	229	125	15	527	207	5	93	13	2	392	80	264	1841	13	87	19	565	2	3	306	16	12	153
15	2298	1631	193	538	3707	8	586	895	1543	4044	306	2152	44	98	5233	1264	801	113	2767	933	33	463	88	7	1770	630	1638	8236	134	726	192	2944	32	63	1259	114	105	718
16	427	318	85	85	876	3	150	164	293	965	91	466	7	28	1132	272	137	44	514	226	7	98	21	4	415	141	283	1647	43	100	49	547	10	17	275	35	28	157
17	222	163	55	54	493	1	88	69	155	541	52	250	2	11	622	152	84	14	289	135	4	59	11	0	200	65	158	909	22	71	22	326	13	16	164	18	8	89
18	128	79	23	14	246	0	29	43	67	234	13	121	2	3	273	62	24	4	158	53	1	26	5	0	111	19	51	513	13	20	9	141	1	3	74	5	3	36
19	319	249	98	101	794	6	138	129	231	737	69	323	16	26	976	209	141	46	350	153	14	67	18	0	307	147	232	1066	53	134	60	411	13	18	184	26	38	98
20	413	317	67	78	804	2	149	149	280	957	89	438	13	10	1122	249	172	19	533	235	6	91	9	3	404	109	285	1648	39	91	37	576	5	13	298	17	12	143
21	405	279	40	73	776	1	128	153	271	864	58	412	6	12	972	241	111	28	534	206	6	100	16	0	363	88	244	1676	23	82	31	477	5	8	251	33	13	142
22	221	167	21	28	429	1	58	88	167	454	44	247	2	3	518	126	40	10	277	122	5	50	7	1	257	24	130	1029	13	40	7	285	1	1	170	4	6	66
23	448	321	89	91	1017	2	157	176	311	1025	80	461	7	19	1255	264	163	34	529	231	10	94	25	2	412	155	305	1701	43	121	59	544	9	12	305	18	29	155
24	251	201	50	46	597	0	97	104	213	602	51	288	8	7	643	153	80	21	366	162	2	65	17	1	267	60	200	1203	17	51	31	384	8	7	191	17	18	98
25	334	244	45	30	620	3	92	110	216	717	57	403	9	14	759	182	89	12	468	188	10	67	5	1	348	58	229	1470	17	61	20	395	5	7	231	14	18	103
26	158	137	5	10	337	0	56	62	150	383	24	215	0	1	402	100	41	2	264	99	0	38	3	0	187	13	132	933	5	5	4	224	0	2	128	2	2	56
27	294	198	69	76	624	2	97	121	194	641	54	270	10	18	773	164	102	18	301	160	3	60	19	3	257	87	184	1044	38	71	28	353	4	12	171	17	23	96
28	720	527	262	1363	2255	5	713	199	714	1503	934	603	14	74	5734	1207	2178	84	558	294	19	137	33	3	619	2900	1330	1215	97	340	264	926	16	107	318	69	45	171
29	540	386	114	354	1240	1	249	169	410	1106	228	526	10	24	2179	399	552	39	630	219	15	99	17	4	510	651	542	1924	50	175	77	632	11	36	281	26	21	148
30	101	77	16	56	257	0	46	59	90	253	41	140	1	5	396	84	98	8	144	51	0	18	2	1	123	123	117	535	8	23	9	164	3	5	60	4	1	39
31	877	673	327	1765	3109	5	958	255	905	2250	1061	771	32	101	7309	1719	2828	131	752	360	24	184	64	10	813	3865	1747	1757	155	421	344	1213	22	124	441	90	77	263
32	764	523	185	165	1298	13	267	287	494	1577	152	738	44	67	1852	465	398	84	848	351	32	173	88	16	637	281	503	2507	117	191	122	819	43	56	452	117	92	314
33	361	294	83	64	679	5	133	154	239	820	77	332	17	37	944	204	173	40	416	173	7	93	49	3	338	133	236	1349	58	107	47	412	18	28	245	33	49	154
34	507	314	456	206	668	46	217	173	324	860	66	415	143	305	1052	254	313	155	467	142	67	123	102	25	333	245	362	1232	253	314	285	548	126	213	264	251	260	201
35	590	366	103	132	983	8	213	221	369	1049	100	479	30	49	1396	306	272	52	592	239	21	152	53	6	434	165	404	1508	59	158	84	653	22	36	324	71	48	201
36	757	623	150	157	1727	9	340	308	590	1773	152	835	43	75	2194	611	644	64	1038	439	28	200	110	8	777	387	623	3465	80	169	107	1062	23	43	527	62	81	383
37	529	399	117	99	1082	10	197	205	359	1154	97	636	24	54	1346	289	230	48	721	301	19	121	57	9	574	137	368	2442	50	124	71	712	21	33	392	37	60	210
38	480	359	275	164	744	24	209	157	328	872	60	455	100	184	1089	302	327	105	568	214	45	110	83	25	429	204	334	1805	163	224	170	615	71	116	358	130	139	176
39	955	673	152	162	1765	6	370	329	655	1992	164	942	40	68	2490	603	465	66	1133	463	40	222	75	7	836	307	650	3649	89	210	119	1224	31	60	648	85	86	335
40	355	315	140	112	919	13	184	163	299	1091	91	419	35	63	1189	270	199	62	493	222	23	95	60	11	393	210	262	1858	76	139	68	498	30	58	318	72	76	136
41	353	265	128	101	726	6	153	112	271	875	72	360	29	70	1051	217	121	45	503	179	17	86	52	8	376	154	256	1627	72	107	70	488	28	45	283	59	56	128
42	314	216	272	165	437	26	139	121	191	504	39	284	100	209	666	161	216	88	305	88	67	69	79	23	202	181	227	825	159	227	148	395	77	146	157	164	193	114
43	427	304	128	92	808	6	184	177	308	983	96	404	17	46	1185	247	167	60	507	236	21	103	41	4	411	163	320	1764	64	121	71	549	29	39	310	50	78	194
44	1152	979	354	1616	3724	16	1336	309	1342	3171	1115	797	60	135	7980	4918	5219	152	926	336	33	213	140	4	837	6574	2917	1443	249	443	539	1371	58	276	454	240	193	379
45	445	412	158	381	1324	7	334	154	453	1156	267	394	31	68	2297	1144	1185	93	543	226	20	105	122	7	434	1314	754	1398	102	179	150	606	21	68	266	104	85	220
46	302	219	226	237	629	37	186	104	249	641	136	214	84	155	1088	647	757	67	269	86	54	60	99	12	186	746	410	650	122	183	186	357	73	132	119	137	164	151
47	795	755	231	714	2464	10	710	265	839	2276	570	636	47	84	4627	2774	2882	115	801	320	33	162	139	6	707	3290	1668	1738	166	263	326	1027	47	160	425	141	137	375
48	398	276	71	86	661	0	105	145	231	703	67	311	16	36	953	189	147	24	430	144	13	84	25	6	281	114	241	1058	37	113	57	400	8	23	205	34	40	132
49	358	196	57	69	610	4	111	126	181	583	52	281	10	20	774	184	156	14	372	128	15	81	45	3	223	77	230	932	37	86	45	378	8	11	175	22	30	113
50	558	393	73	84	889	7	191	203	351	1035	80	544	14	24	1217	306	188	37	624	252	16	129	35	4	429	111	355	1882	58	104	40	658	8	19	302	34	39	190
51	490	350	82	120	744	7	170	161	310	876	62	392	26	33	1195	249	216	53	490	182	18	124	62	4	305	154	346	1092	65	178	79	521	14	35	277	58	55	187
52	434	305	40	68	656	4	122	153	273	774	57	429	6	19	905	221	130	21	503	146	13	103	18	0	369	68	254	1337	32	81	37	462	7	18	239	18	17	131
53	652	428	72	85	1076	3	212	237	423	1270	100	609	17	40	1528	330	338	23	684	299	16	151	135	4	542	93	426	2143	62	132	61	740	12	26	357	36	41	293
54	1342	961	69	104	2311	1	365	501	890	2551	229	1407	20	28	2867	678	340	30	1698	648	16	281	89	4	1242	135	816	5560	49	123	47	1657	11	28	886	34	38	464
55	832	553	77	128	1278	2	230	320	467	1405	114	715	21	25	1809	454	659	42	818	335	15	166	130	5	628	128	525	2356	57	169	86	966	14	29	423	55	34	374
