	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
0	1953	1395	145	280	3173	9	566	689	1309	3526	272	1979	36	70	3911	987	453	89	2213	808	28	478	47	10	1648	223	1151	7210	101	465	127	2464	25	65	1251	109	76	598
1	1460	1015	143	174	2586	16	429	567	935	2622	197	1479	28	34	3311	813	341	54	1745	705	10	356	18	2	1256	185	935	5666	89	252	84	1789	22	36	983	64	53	500
2	623	465	26	33	1016	1	140	238	446	1153	106	770	2	3	1275	320	138	5	811	320	1	147	9	0	650	50	361	2710	16	36	9	838	0	3	451	6	11	186
3	1279	878	121	173	2172	13	376	518	907	2426	177	1292	21	41	2903	736	387	41	1531	552	23	319	41	4	1152	221	919	4716	87	237	99	1697	18	32	769	57	54	370
4	2281	1624	128	341	3889	6	659	911	1546	4108	273	2430	19	38	4891	1154	502	66	2769	977	21	508	67	20	1843	315	1498	8984	92	516	125	2763	27	37	1413	93	68	660
5	2247	1724	121	214	4026	6	610	913	1575	4647	381	2558	19	31	4963	1229	497	43	3057	1111	11	492	19	8	2203	202	1480	10478	64	258	78	3196	18	24	1656	88	46	705
6	354	273	25	41	594	0	120	162	307	723	39	401	6	2	835	215	66	19	442	176	3	78	3	1	360	26	206	1687	8	66	13	499	1	7	231	8	5	103
7	1970	1538	115	216	3328	6	568	792	1473	3976	287	2054	34	54	4437	1062	420	50	2622	985	14	472	28	8	1775	207	1249	8530	54	289	103	2571	11	35	1388	80	61	674
8	2064	1530	110	334	3421	7	500	768	1433	3511	207	2073	19	38	4210	1076	451	93	2463	849	14	464	65	4	1708	252	1346	8081	111	671	109	2658	12	43	1240	70	49	670
9	1458	1086	61	158	2547	0	418	553	1071	2925	224	1729	12	27	3281	799	326	42	1887	753	15	338	24	8	1428	130	948	6635	48	201	64	2063	23	23	1016	29	42	494
10	643	547	24	37	1321	0	209	214	545	1456	144	845	2	0	1631	395	157	13	966	374	2	164	3	0	764	42	443	3631	4	69	6	1036	6	12	507	9	6	192
11	1396	1037	94	281	2350	8	339	523	1019	2554	177	1574	15	48	2925	613	305	83	1772	601	14	311	34	4	1026	149	941	5392	72	412	73	1702	10	39	831	60	45	405
12	1782	1262	213	552	3031	2	611	714	1288	3370	308	1889	31	75	4721	1053	802	97	2090	826	22	429	38	16	1434	831	1399	6798	122	481	200	2327	30	84	1108	98	96	516
