2197.680183607868,Signature 1
266.42669589946996,Signature 2
555.9589492746047,Signature 3
448.11620739160446,Signature 5
2142.846282769538,Signature 6
2199.5683465911357,Signature 8
2663.3198618820065,Signature 9
103.16131607118236,Signature 11
2054.2875879054704,Signature 12
335.0825739189288,Signature 13
1393.0498702927573,Signature 14
1242.5885036068953,Signature 15
414.86763778183894,Signature 16
4745.663737186191,Signature 17
583.6373378134093,Signature 18
1463.5093399697453,Signature 21
345.4370870132903,Signature 25
395.54255077118006,Signature 26
953.170421753185,Signature 28
15.605500926533102,Signature 29
69.44003784306761,Signature 30
