"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"Signature1",6762.5827426507,4567.18504708705,1422.14622554294,3138.12138430557,12050.1538179986,1.00455982878297,596.678732490999,2101.4727256896,2286.50085122707,15266.0320225323,0.0062518692332608,2763.42676563331,1.32013007331163e-05,312.988826951805,13071.2386731182,266.571366783118,137.105576831802,650.331027384073,3552.46158210224,1646.37193309952,154.628823007927,976.752745267483,9.14709557742752e-10,0.00931816232355585,3878.34212570042,181.39534611838,2871.22100690462,510.686864807299,969.810778622043,6241.97237218822,1394.69006287522,5058.23726324016,0.0267586007360701,1.61149412110379e-07,343.815992347543,334.292002025037,243.056856008398,2600.94316617355
"Signature2",69.9552554243745,5049.98974256232,10.0925689097445,0.185211812039957,16563.2468373073,32.9883269474729,1245.33250920879,1387.59791713527,4928.29960101886,18065.87362222,0.15571000422777,7304.85344399939,54.2199362788503,82.8319014318281,2270.19535995554,2061.00801209083,4.04122199218194,235.369710620755,11993.045877917,3097.79682487397,7.75656676309125e-11,153.402567954975,8.59430485484086e-08,45.7595564532911,9094.25203580169,0.0183832732602123,1816.37263703042,69483.400225392,0.000623729115334994,2726.20872414078,3.00511363781378e-09,9428.02367415775,52.995256322414,1.28117860193972e-10,5520.97046111367,0.00073631812917094,102.893741948093,2313.72576880152
"Signature3",2203.9324019611,2447.99120423338,1335.43046209019,483.589516371972,18446.24214306,1.28546605662008e-10,5087.74341670687,2402.59703122934,2885.06548286401,18474.3879194407,1676.66315391101,2226.07557490359,350.000030356892,2.3613680927277e-10,23959.7374913637,22.5920796565264,2121.54408101047,925.790211940211,2242.68365641666,3344.75812235957,507.577910442049,1081.96079412846,5.60219120357967e-11,98.5229933318791,4791.7146317748,1.90504212468925e-05,1750.05132702001,8296.19323403613,863.365438821427,0.0717720927340219,1184.74604541145,3649.19050875676,236.772169736934,297.936380196212,2608.43767469561,752.479880265987,651.632585195651,5671.36046433907
"Signature4",197.980353947125,449.516734242415,143.671156859579,13.6266988417414,98.7764789256743,33.5770367668471,8.21132403667556,182.958290580824,60.5403212973392,2604.27267413171,1.17004807142319e-10,365.209359509099,37.6899450578783,161.562848667022,80.2093263862895,0.0235265567720738,24488.6591137233,19.1853855938617,890.127302181735,78.0101312938729,70.4041325963077,73.9085440144837,6683.670810851,10.5660661922934,1278.25485233878,0.059729564137517,1.94404405201054,2289.80252945473,46.0301405438464,256.827731526364,57.0034182617762,551.522823513641,8.0014154360191e-11,8.38846107185923e-11,290.172861356788,2.36421304005319e-08,98.4814695743987,6038.04730351599
"Signature5",1212.49940445697,1328.67715512245,784.115436877182,6870.63837409064,10453.8555294265,0.590380441747179,3609.91384003343,0.188087010331543,3125.24249351782,5116.0587233094,5554.63192826526,2373.93694227046,8.7287843324961e-05,148.973951551057,30688.0691153512,5800.33029784072,8601.91421959521,195.111090770338,1425.50699787256,1084.66404219,2.52473100224871e-09,204.043034599393,5.60219120357967e-11,12.7077262047646,2969.60894603112,15225.0612318062,6603.65951788931,6402.16673066094,149.479409218466,101.129452081148,723.46225157885,3241.44689881107,20.9999798962878,362.9304516739,1449.78051629505,51.1505270911986,0.00671873708394349,0.384772582572233
"Signature6",5200.96708266627,2168.68929851188,3247.93026538785,1794.96155257806,837.942344616901,357.112428185233,1131.30458112418,1426.70971416683,2217.44419445342,2330.90808033228,215.396282413118,3675.92320264115,1052.32332899271,2071.44922266169,5697.91785368347,68.6336524771286,1071.08390044001,1050.39111445629,3682.88238435015,798.000805010901,565.273664082684,1161.98070314121,5.60219120357967e-11,254.724240457104,1726.42377169156,10.6286058999557,2271.74353723076,6178.91045629751,1707.90074899828,2003.73118961162,1782.63141858636,4826.11426592843,929.533917969109,1560.49741128224,2156.7845328995,1862.13639310812,1962.41020177804,996.587297629132
"Signature7",19326.2115917625,7830.22713792553,1.62581020070858e-07,2223.40724143759,6129.71108565691,5.19755114577414e-06,2583.72510263532,6401.88683689182,8840.98371989684,1607.24675100371,1457.09190463663,12697.159465916,59.6860827714272,0.0440600265264197,28798.7645174242,5183.12270766708,1.89553784428728,0.00482544218395794,14461.1322989476,3872.30571689364,8.62568613147848e-11,4438.63132665536,0.0748757872087908,8.31268174355007e-11,3004.22104929019,4.41906216458673,10421.4119233466,15067.9286001998,0.0842134649438834,11.1826040335626,17.4352586896522,17797.1797188858,3.03597341382867e-07,1.75262969235555e-08,6412.69769828845,360.673084402426,87.6365150942766,13.2160241042068
"Signature8",2538.44707764726,2830.23924070514,245.004866444294,37.7573585570879,6295.19328033073,47.6327200241065,1860.4186793581,698.654443770004,2999.4793092724,8300.20278885757,377.61343353412,950.869827490088,139.089842219372,162.750809657886,6557.54888516914,17074.6825353027,8875.79665601007,248.941091529463,2313.22520644148,351.690841830488,57.2269230015717,404.868750512354,5.60219120357967e-11,8.31268174355007e-11,1305.92838224673,12066.1285933017,7080.57011051481,1126.53158531104,526.62205329085,930.841239121626,1042.74380477138,2508.74119166091,139.831151080753,543.446772343768,583.765965295504,626.702423720731,499.76479818269,1350.9774932929
"Signature9",16674.3415923136,11764.9079565657,295.444836185451,16.5617215594238,23562.6969412811,7.95508153692622e-11,2964.72997773148,5353.71169426511,10374.3880288273,30108.5007851924,2186.25766729107,20838.5453517914,0.000226930104038382,14.9281599434091,29858.7708859638,7616.99505699351,1409.95908632477,1.52419425402955e-07,23578.8937922909,9555.82854745893,7.75656676309125e-11,3726.82204823212,5.60219120357967e-11,0.603871479355844,17917.1913529346,0.000203739463397907,8708.45807697717,84728.8199037821,157.818954852584,0.1346886673954,1.01342255348496e-07,21081.718874964,6.92072047199746e-09,60.510384509284,13340.2428320575,15.9959555300266,8.64480702243549e-08,3536.75770955462
"Signature10",0.0824971700767959,1637.5764830441,1980.16418154019,1267.15094044587,11383.1815413962,24.0945426080513,2421.94183667415,718.223259260864,909.055997624933,11243.51663298,970.183668075215,6.58455022012859e-05,403.990506903619,1071.47021910854,12090.5478915844,2354.04076463161,0.000606227896764797,880.8755421104,212.040901479731,1308.5730349891,354.888546866694,145.62948549416,3378.25431327465,42.1062277188224,1916.06285219016,4160.28882508189,1359.56781903426,2640.55987005853,1184.88763845844,2323.90022653654,1210.28773972096,274.824780081496,224.840766083168,531.678599815705,669.331465650353,624.568997514706,926.117113394923,6.44103100006258e-09
