	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
0	1990	1305	127	288	3123	12	538	642	1214	3423	246	1786	39	63	4088	900	515	75	2307	878	32	374	50	8	1645	281	1195	7309	118	423	140	2356	23	51	1119	102	90	554
1	1417	1031	121	186	2568	9	369	538	1037	2742	195	1402	18	57	3103	712	378	57	1915	665	18	355	35	5	1319	178	1006	5410	63	237	86	1916	23	47	980	80	60	509
2	583	493	19	37	910	0	160	229	397	1082	88	743	4	10	1629	284	124	8	933	417	7	129	1	4	548	59	358	3088	9	38	10	781	3	7	499	8	9	199
3	1409	955	129	191	2238	7	356	524	786	2300	168	1377	26	52	2858	700	440	63	1421	607	11	286	38	7	1142	161	834	4956	81	239	82	1637	22	42	792	84	44	451
4	2218	1577	153	323	3935	8	618	866	1621	4151	283	2206	32	49	5068	1195	490	73	2897	1030	23	495	34	11	1876	286	1574	9213	75	552	109	3000	19	42	1458	73	67	673
5	2506	1764	105	182	3586	10	562	803	1548	4508	372	2588	28	49	5111	1266	535	48	3288	1167	22	524	15	5	2337	208	1512	9314	71	237	83	3030	17	34	1621	57	45	796
6	396	300	18	37	668	0	116	143	262	746	51	376	5	5	845	204	58	9	506	221	4	108	7	0	302	47	232	1701	9	84	10	402	1	1	239	8	3	103
7	1973	1381	114	244	3064	4	569	771	1332	4229	308	2121	34	39	4641	1009	416	60	2550	843	20	504	24	6	1818	226	1414	8531	64	290	103	2498	17	26	1384	88	65	704
8	2244	1422	137	340	3311	4	528	731	1320	3677	212	2147	22	39	4175	941	525	84	2440	807	17	419	66	7	1629	299	1275	8372	82	695	93	2729	14	26	1193	56	65	628
9	1454	1133	96	139	2631	3	445	593	1178	2821	218	1644	16	28	3329	790	406	33	1906	771	22	347	20	6	1382	126	975	6127	51	177	65	1881	10	22	1041	43	47	461
10	703	591	14	33	1125	0	188	278	535	1433	116	912	3	1	1364	349	151	11	1048	382	2	180	2	0	854	58	452	3372	3	59	13	1047	3	3	482	7	7	234
11	1433	908	96	253	2356	5	357	486	984	2606	144	1378	12	31	2923	772	352	60	1820	575	13	356	38	6	1168	207	1075	5762	71	390	80	1971	7	31	796	51	49	440
12	1808	1282	205	567	3183	6	615	649	1240	3098	420	1777	30	79	4657	1058	802	94	2298	799	34	385	65	8	1430	866	1448	6565	121	532	159	2361	13	73	1051	103	110	623
13	2105	1522	135	304	4049	10	603	772	1432	4264	341	2365	21	48	5055	1247	617	71	2745	1070	17	460	29	7	2024	372	1416	9410	69	297	88	2611	21	47	1455	72	62	622
14	423	359	27	61	748	0	132	137	300	673	71	485	9	9	937	257	81	15	555	213	6	84	13	2	406	51	330	1769	19	87	20	449	8	10	305	12	10	126
