"","Stomach-AdenoCA::SP135192","Stomach-AdenoCA::SP135335","Stomach-AdenoCA::SP135278","Stomach-AdenoCA::SP135287","Stomach-AdenoCA::SP135345","Stomach-AdenoCA::SP85122","Stomach-AdenoCA::SP84384","Stomach-AdenoCA::SP135184","Stomach-AdenoCA::SP135226","Stomach-AdenoCA::SP135436","Stomach-AdenoCA::SP135262","Stomach-AdenoCA::SP135431","Stomach-AdenoCA::SP135425","Stomach-AdenoCA::SP135222","Stomach-AdenoCA::SP135230","Stomach-AdenoCA::SP135205","Stomach-AdenoCA::SP135180","Stomach-AdenoCA::SP135213","Stomach-AdenoCA::SP135217","Stomach-AdenoCA::SP135405","Stomach-AdenoCA::SP135238","Stomach-AdenoCA::SP135270","Stomach-AdenoCA::SP135411","Stomach-AdenoCA::SP135188","Stomach-AdenoCA::SP135194","Stomach-AdenoCA::SP135186","Stomach-AdenoCA::SP135420","Stomach-AdenoCA::SP135258","Stomach-AdenoCA::SP135234","Stomach-AdenoCA::SP135293","Stomach-AdenoCA::SP135393","Stomach-AdenoCA::SP135299","Stomach-AdenoCA::SP135415","Stomach-AdenoCA::SP135310","Stomach-AdenoCA::SP135323","Stomach-AdenoCA::SP135390","Stomach-AdenoCA::SP135209","Stomach-AdenoCA::SP135240","Stomach-AdenoCA::SP135182","Stomach-AdenoCA::SP85251","Stomach-AdenoCA::SP84408","Stomach-AdenoCA::SP84491","Stomach-AdenoCA::SP84743","Stomach-AdenoCA::SP83967","Stomach-AdenoCA::SP105253","Stomach-AdenoCA::SP84998","Stomach-AdenoCA::SP84062","Stomach-AdenoCA::SP84982","Stomach-AdenoCA::SP84790","Stomach-AdenoCA::SP105673","Stomach-AdenoCA::SP85339","Stomach-AdenoCA::SP84719","Stomach-AdenoCA::SP105425","Stomach-AdenoCA::SP84056","Stomach-AdenoCA::SP105261","Stomach-AdenoCA::SP85379","Stomach-AdenoCA::SP105086","Stomach-AdenoCA::SP84392","Stomach-AdenoCA::SP105018","Stomach-AdenoCA::SP84858","Stomach-AdenoCA::SP84086","Stomach-AdenoCA::SP105213","Stomach-AdenoCA::SP105577","Stomach-AdenoCA::SP85431","Stomach-AdenoCA::SP84962","Stomach-AdenoCA::SP105006","Stomach-AdenoCA::SP84439","Stomach-AdenoCA::SP105159","Stomach-AdenoCA::SP85230","Stomach-AdenoCA::SP84922","Stomach-AdenoCA::SP85130","Stomach-AdenoCA::SP104984","Stomach-AdenoCA::SP85222","Stomach-AdenoCA::SP105375","Stomach-AdenoCA::SP85287"
"Signature1",0.163683069988144,0.168492095939574,0.168424522684447,2022.3282395334,0.168486805253016,407.372467542381,1269.05736097737,0.168333831113326,0.168388517199835,8.60889105437722,0.168458620587019,142.829428650386,33.1159979484102,0.16848636751259,13.2227048152865,0.168496733557151,0.157697611715121,0.168458762182545,0.163130743238013,0.168536942657837,0.167183708646783,0.168512351260548,0.168501775732636,0.168493269767289,0.168475311266016,0.168506801469252,0.168527412300666,15.9425171314721,75.7800122638595,0.160721756644287,0.168496508179963,31.9626960241094,0.16845407186179,0.154199775483246,0.168197106013093,0.16844948224223,0.168385239638916,0.168496549840185,867.035791971337,22.88792754201,0.168425169520605,0.168544620735946,64.7647480585473,0.168503857827585,0.168729775468983,0.168511139461051,0.168380773180433,278.224971464871,28.9245367220349,0.168503886885882,137.028226896369,0.168517660897633,124.837165687299,0.168472906756981,0.168445361462666,334.012220796942,0.168491710089916,2948.98252790004,215.512903438252,0.168521969033972,0.168444323737838,0.168511013853212,0.168489134094993,0.168430308529209,8.76080710684461,0.168625394469586,78520.9026730614,0.16852692518321,0.168491452572977,4.35485191521471,0.168481224498015,0.168417031564191,0.168478887339648,191.804119798354,0.168509215171314
"Signature2",0.163540111041953,0.168436316457219,0.1683507502819,25200.3538322452,0.169029469862498,16499.2626743835,57794.8090656433,0.168252115719386,0.168389014487382,85.2929886232432,0.168471397366482,19.9450006553645,2.17313105476618,42.8407632340922,0.168522508575025,0.168370986732669,0.157809843571306,0.168452655547355,0.162989264743102,83.4132065998963,0.167082631088755,25.6426646934789,0.168478883332801,0.168451922577117,0.168426180762784,0.168486330624198,21.4688573443396,0.168355827614963,123.142372278898,8.40406519283211,0.168859145782952,0.168791964682974,0.168458234535186,0.154590679103525,0.16825551829782,0.168404426047915,0.168352975663046,0.168614802890933,0.16852555835399,0.16851362804448,0.168592663582122,175.108543237791,64.2874431762749,0.168483644962317,116.816133521748,140.537137262153,56.6366088784611,15639.9024750712,140.079648963665,0.168517458146968,0.168505350454973,465.889335405804,276.356986576966,152.199418413358,0.168463182125225,0.168504865324257,89.3207558192102,32932.987741983,0.168609101022663,0.168532221201286,0.168426609448497,50.6766740767559,158.609206246445,0.168437088821564,0.16851238397723,139.431457065448,35635.1741748916,0.168729726727313,82.8476752783029,0.168527074164224,0.16848057937349,0.168404167671256,0.168424657518962,0.168525693703369,0.168522142453237
"Signature3",21.3827782375218,551.814841012125,0.168339722056511,117.741112345064,731.141038216778,230.355071120067,0.168524910963217,265.811077575398,584.001762839665,2585.40526645444,500.811903743848,1378.33187466445,0.168500422849873,851.524787348481,418.87408796941,0.168439188588338,0.157983528957309,670.364387499475,17.9302736998811,2426.85771759858,60.6139007095741,1852.69423379213,3166.75289930466,1302.17536403092,764.532442098391,426.739980080828,348.538779275692,690.306874642388,145.338422173548,25.7464281667192,0.16847204756095,1238.85570040603,1354.33619012569,0.154373004605661,585.051630988345,459.534599469856,227.763400614375,1426.45843082416,333.505954339665,1685.02661934044,1234.02543907616,965.293215029215,2767.94239263136,3538.14548503571,1164.82728177439,1284.9409547309,677.75713021823,0.168503617742904,0.168532904286053,1476.99300593655,1901.40354848257,534.886655478637,775.996885380804,774.998552908477,1397.78419998092,117.132668670558,3032.20712982788,2496.88570280963,366.807832443355,2426.77652005636,1513.88463805282,1721.67853704254,1636.85538961054,1807.74108363897,913.561004886352,1207.85463416137,2447.12334954765,4440.34204748592,670.58685441039,0.168507598735757,1941.9058474885,465.98131185921,550.198583243976,0.168500852324352,1455.67614640028
"Signature4",0.163450149089704,0.168411773982083,0.168428868102282,0.168531149191866,0.168392871902512,0.168536142524417,42.048938251772,560.648909750779,0.168428306634046,0.168511119956285,201.097483195176,0.168511552545005,0.168534076681664,0.168470527651365,0.168543025931544,28.1947855086266,10.2597327815081,260.843712942767,0.163039823306397,168.082203469611,22.6133392555098,267.59770955407,0.168484671729443,30.020829402646,391.386365541725,1707.23362697796,1569.62486201042,0.168341143115771,263.409458135398,0.16067522732204,773.390875269633,2256.72302952999,554.236724822863,6.6743339722358,325.681304917281,367.691398924595,41.9518596840704,158.305352753695,59.8499365432129,41.1357205540116,82.2166966234452,2587.9693110924,1718.93748845254,172.402653164799,896.440732547273,0.168537423638176,225.375356980959,0.168527577086008,2293.99268859773,2503.13410926939,0.168461413481578,0.168428114760754,160.634010513038,598.113649393714,0.168467820245602,654.518371873018,1048.65032268779,0.168526843431283,8756.39365421598,339.942478203543,143.52853206567,0.16849476758539,0.168478220940152,74.5840530420779,0.168386366440918,643.729199217213,1227.69991211139,226.511189625219,1452.27314540439,553.47524245839,276.222227909733,177.458062455174,247.664937210506,887.002401388475,0.168499147142995
"Signature5",47.4477560382203,0.168522981255816,11.1546522833536,4130.0785294944,0.168513610463906,7855.62891008515,0.168660741770102,243.245257033568,410.353047545802,1937.91450876604,847.766238762895,2528.09200994484,345.049521775535,3208.19647000276,1143.76846903847,1329.95327497092,0.157927699274048,1878.82740490721,0.163293178434359,3225.24657531452,91.890400848351,3095.66106647567,1008.19910843863,0.168364189967787,3854.58842518416,14.987765351715,367.377821685175,721.21322226744,2923.82958958446,6.81405420489456,122.466727212211,1719.77580190788,673.174060718128,0.15422518132826,97.0807687767287,254.970806105046,862.236133084009,2642.18830099588,7145.01449554825,1542.32515426211,243.69832519739,0.168530545287956,0.168519432065927,2778.13463374631,1090.07481324788,2998.73309822998,582.091076298333,0.168539781789737,28.4397777229072,554.352437469355,2812.0595741773,4030.03383683026,660.910799906513,942.783540974685,867.016953969338,1330.12973802296,2117.02531670311,907.073286567239,341.600327968186,3693.01091963191,1716.67755980866,1639.37696967949,2306.1989564145,286.311559000679,2941.68836601436,1422.03985321662,1536.70568183898,4019.58244966104,0.16865975322873,0.168501890689997,1719.61497336284,1883.14490659337,1448.940280096,683.880330739506,2902.38250349951
"Signature6",6.34596522124767,369.673135689994,0.168358416620311,10970.1648608185,700.700306846752,26149.4732481923,16603.1012075343,160.77667529242,402.91710188307,607.042570196846,1279.26566178161,0.168420318943797,584.53163338837,1943.82109468357,430.519240323579,0.168414475582297,9.4619721469925,68.7430110338025,10.3502072856586,536.771550653874,0.167229242600791,2164.11778145708,0.16845729562613,1490.82538706621,867.450253662317,781.631076375121,2319.19951319422,140.682389960398,403.30120753173,0.160738047590463,1672.93582113915,776.322277521046,17.6890503327788,0.154183119766445,282.816096707204,0.168414024731184,471.052129880812,1055.88951080381,0.168494564466322,1411.26751771622,1387.8525462602,593.405474109923,0.168582290443276,892.212258448651,1324.6809617371,409.325977833761,623.277303494529,1138.38048809056,2089.04045384217,957.163271897176,458.047644494122,499.321300869408,1032.68352571137,934.916274559607,1184.85740434418,1701.58473797551,2142.35933714721,4904.62664820027,0.168517089987065,2503.13022470177,276.382428002477,910.866852013263,1208.93632808429,447.933259134471,0.168304826171892,955.08885832266,4056.12486625848,18.0413081779034,532.462005857178,0.168454788942804,2624.54223042738,4064.29139064302,813.706627386709,110.848786488262,0.168502301754632
"Signature7",0.163546210916048,0.168538903780728,0.168396025094198,362.498117833,0.168505680561177,0.168492655739063,2178.92052001747,193.66249292841,141.340945929781,418.619919283555,185.186166528059,631.571412685601,0.168483977567589,327.554502152951,0.168527365820904,0.168384051798194,0.157606724328429,293.518089488129,8.91742207866115,140.44342953719,12.6537485048197,440.744516488841,0.168506236715446,0.168458460212671,285.728544464836,392.903453494135,174.293778885625,69.5357000608333,48.5340667047874,0.160572968559401,460.35523118496,617.418147831137,448.913952011548,0.154589303929723,134.325310993206,199.893549592629,0.168440900766632,426.510884706765,0.169050289006866,191.823054484544,129.236081111744,1146.6530129678,0.168528390034216,0.168509549742331,502.343792192405,0.168501281592914,20.1741305999379,79.5151461433486,448.886193766334,0.168528897541029,0.168463372037081,0.168403977631917,301.332222599758,302.863549623424,152.411156478259,159.851737571217,730.124485922734,11266.5996457796,62.7998701739176,436.802308174773,22.1745839477646,669.976427115102,31.3095679185128,246.636500597165,19.5110131838642,331.512485392897,51842.2890254216,0.168491953984877,0.168507706735459,40.6559030363814,510.412971749991,276.266722246357,71.7211231436678,0.168514891511045,85.8043089988267
"Signature8",0.16347875839699,0.168468291000244,0.168304574803694,1756.32037629181,0.168498451313049,409.826837158163,0.168502895265116,0.168401150376191,380.853064319411,913.23794590796,0.168801051456788,3281.89590877365,0.168470315191767,0.168473044269799,0.168469792614565,153.11457792189,0.157818876257532,388.242835212495,0.163149763684517,179.238693075165,0.167070765768372,97.8844378896863,0.168504575152457,0.168411057831873,161.86984083675,946.276643763567,221.681899243201,0.168347474395028,491.178008314503,0.160372454007264,788.634128917563,1808.03666497858,288.509953107657,0.154566297290035,0.168250496399885,0.168446366079535,0.168445560204719,811.41888832162,4494.0210696029,40.2391729164186,55.1506606332382,370.069936411558,1190.32500534379,0.168470187896,617.998033032605,539.625350981395,0.168401569050763,5356.10217647181,1072.35420214201,378.727376162786,130.731275032153,105.353339625757,733.9587785904,921.978680901914,0.168485724451435,132.792424292647,3227.60563098756,11875.8052390424,19.4364253387235,414.845970850278,13.9782128180963,1359.74538390303,88.5346083343947,0.168632249273991,639.363809896159,320.877215791877,6539.61896974335,248.784488364132,60.0254284129579,106.571907927482,210.98386509382,0.168477353542741,0.168390946874268,6538.06150449576,937.246910754399
"Signature9",0.163544550314462,0.16848774728307,209.517172503263,0.168538283295424,0.168419681824686,0.168500104332725,24.7518450615819,333.139285137529,25.0147707350454,265.398967493687,569.67316900353,1375.03507051525,0.168482875291614,24.7049875456895,628.381060238967,0.168466202803558,0.158048570227682,142.617015805513,0.163304284793462,188.993532003362,22.2452692253577,371.230241925794,468.511981873472,1361.41423223436,287.402032215047,782.122296432356,1040.86018612652,195.62693244311,302.60428385292,0.161112794493541,1880.57956548817,2713.73349764629,401.546909692467,0.154443109128076,0.168280695643822,250.750907543121,682.609841575212,182.825406084438,422.587292722557,107.420327146677,112.429814592455,399.557234370406,8280.15773502446,51.4058698331508,854.88543500504,0.168489123400747,18.2551693493627,0.168486350382251,2048.48017307955,350.190846305413,174.315287441405,0.168522870009942,465.477066666703,534.597021226362,136.083960411721,0.168510802683146,614.528464665449,0.168524657914573,4416.63248887404,699.544825945872,120.324409590326,200.37581798681,96.9981592701658,114.364531836962,128.079363470359,183.308274292357,998.830843990134,216.898256488175,273.579956373852,466.803503249177,285.219342937817,349.488190534989,129.888037724094,8295.13291851528,0.168487958098878
"Signature10",0.163418213644427,0.168437890688894,838.959117774661,119.648176716269,0.168434610641902,26.5316503489804,0.168867493523139,30.3028479245885,310.250232257559,922.345444378836,1066.89102061345,1869.76960014709,1327.21274253636,1331.88220198161,1684.32809678584,936.19639794718,0.157884293720076,207.763304881999,0.163220230466392,251.652875801321,45.8261857406617,942.669665642945,69.1896439537192,556.320166653715,1192.46665586783,91.7952748325703,500.801862360134,188.102661216349,1412.35562486939,0.16065144216272,655.03723266737,803.584086102715,115.552409907999,13.4240946036077,0.168130841191398,166.607330252474,794.31335365228,321.468043698047,502.831013470012,134.556411899577,227.733720505858,74.8557577427358,1802.0769045711,50.3321539546248,1964.56020424973,79.1822408964033,266.471939073777,0.168506973297376,996.708943911026,11.6694970829751,301.912793468086,1038.14239123063,864.492677384017,171.00545400221,173.545502115762,79.5421023115387,1120.21891645667,1117.06862629168,108.702000229395,696.360946340072,100.991555538706,129.263626956865,311.999680433689,59.688980620685,0.168404193405725,717.597368867874,1052.87316442107,0.168503434492073,0.168472518862357,524.172858896799,528.887843144755,1309.67459370301,364.049916193848,2523.5610556228,641.007000016517
